,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[18  2  1  5 18  1  1  2],0.09622800000000002,1.0692000000000002,0.0,0.0,0.016426800000000002,0.0,0.0,0.0,0.0,0.21492,0.0,0.0
[18  2  1  5 18  1  1  1],1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[18  2  1  5 16  1  1  1],0.10374436908000001,0.0,0.0800852207980923,0.0,0.0,0.011858930619579813,0.8,1.1297761792812,0.0,0.0,0.0,0.1058508
[18  2  1  5 16  1  1  0],0.0,0.0,0.0,0.0,0.0,0.1058508,0.0,0.0,0.0,0.0,-0.702366974,0.0
[18  2  1  5 18  1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[18  2  1  6 16  1  1  0],0.052396146000000005,0.05346000000000002,0.052925400000000004,0.052396146000000005,1.32396146,0.10206000000000004,0.0,0.052925400000000004,0.0,0.0,0.0,0.0
[18  2  1  6 16  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0
[18  2  1  7 14  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
[18  2  1  7 14  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[19  2  1  7 14  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[18  2  1  8 12  0  0  0],0.0,0.0,0.05346000000000002,0.0,0.05346000000000002,0.0,0.0,0.0,0.5346000000000001,0.0,0.0,0.0
[17  2  1  9 10  0  0  0],0.0,0.08820900000000001,0.0,0.9801,0.08829000000000001,0.0,0.0,0.0,0.0,0.0,0.16920900000000005,0.08820900000000001
[18  2  1  9 10  0  0  0],0.0,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.08910000000000001,0.0,0.0,0.08820900000000001
[17  2  1  9  9  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,10.0,0.0
[12  0  0  0  1  0  0  0],4.350825092226128e-14,9.55841327032583e-13,8.943393593607574e-14,1.6073386352324574e-13,3.6680906064332364e-13,6.711352975227533e-13,7.780330627303101e-13,2.3251392962470997e-12,9.899754763137276e-13,2.1951867405497003e-13,4.62812285103338e-14,5.199041219818665e-13
[13  0  0  0  0  0  0  0],1.2487560870754218e-11,5.678792751480412e-12,1.1367482419147734e-11,1.3869165010269159e-11,6.549411635740664e-12,7.1009608666677505e-12,1.5898624080166308e-11,7.760896444172304e-12,1.0296998672079839e-11,3.88461181359954e-11,9.430237757613205e-12,5.415914017952423e-12
[14  0  0  0  7  0  0  0],1.3018482931496918e-10,9.195689349502538e-11,1.381391698373577e-10,2.1535963047086357e-10,2.268516460139954e-10,6.888533246071318e-11,2.0793649694152805e-10,9.88313666175575e-11,5.411166186516359e-10,1.446825184217916e-10,1.0772502897502873e-10,2.744282339048844e-10
[13  0  0  0  7  0  0  0],4.882521790879296e-11,4.536230572947906e-12,7.854368484453684e-12,8.727076093837426e-11,1.5397806190830326e-12,4.0826075156531163e-13,0.0,5.308541410030461e-13,2.493536372050793e-12,0.0,6.163489826202145e-13,3.76265437090514e-11
[16  0  0  0  7  0  0  0],4.134704899279619e-11,5.098776224423685e-11,4.865564621504256e-11,2.5261816999586003e-10,2.006437842602507e-11,8.2764544530214e-11,2.6163848335428357e-11,2.0885468957077258e-10,1.4906505560350359e-10,5.635099311585528e-11,7.123691466771584e-11,3.8736914463937884e-12
[14  0  0  0  7  1  0  0],1.661568005385992e-10,1.1517211019629981e-10,1.4284786914948928e-10,2.5852409675749115e-10,1.5971003461714396e-10,6.548533265355467e-11,1.4317007908120684e-10,6.61106591510269e-11,1.2168716421776673e-10,1.1198045410088437e-10,6.173653715422182e-11,2.0626515732048352e-10
[15  0  0  0  7  1  0  0],4.666780776509626e-11,3.0258040928115175e-11,2.8856559035036442e-11,1.3256547845592652e-10,4.2266247808063426e-11,4.008146579591061e-11,3.809591294010982e-11,2.1903414208458696e-10,6.233916469775987e-11,8.88983602095621e-11,5.418316698844277e-11,1.2075755293225715e-11
[14  0  0  0  6  1  0  0],6.792217058652423e-11,7.682791235651767e-12,9.307986318102935e-12,0.0,4.6516299991589176e-10,4.5814134846466105e-11,1.3503937102853487e-12,4.902134608249669e-12,4.683286857919402e-11,9.310586704897607e-11,7.979350922312539e-12,0.0
[16  0  0  0  6  1  0  0],8.250470008964341e-12,9.093427537205266e-10,1.6560990097179733e-10,4.2953001584695865e-11,5.615217311886596e-10,1.4814743035578346e-11,3.6632227535982656e-09,1.1010834529010553e-09,5.1125662347384856e-11,2.0938490909390251e-10,4.795764174963314e-11,5.1206637592991985e-11
[16  0  0  0  6  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[15  0  0  0  5  1  0  1],0.0,0.0,1.9240158639502672e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[16  1  0  0  5  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  0  0  5  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  0  0  5  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  0  0  4  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  0  0 12  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13932057079156e-07,2.7049055635745044e-06,0.0,0.0,0.0
[18  1  0  0 12  1  1  1],3.826375200000003e-07,0.0,0.0,7.229863673092748e-08,0.0,0.0,3.826375200000003e-08,0.0,0.0,8.281319819174322e-09,0.0,0.0
